team_id,rating,wins,losses,last_match_time,name,tag,logo_url
6214973,1202.4,254,249,1603230277,Ninjas in Pyjamas,NiP,https://steamusercontent-a.akamaihd.net/ugc/939457282117079692/28F558E0F2E7BD190435810894A08D2E331CE0EF/
3326680,1202.21,51,46,1488729655,Horde,Horde,https://steamusercontent-a.akamaihd.net/ugc/253716559970590297/28D42322E370E42F0A371025990F4633C4909FDD/
7653600,1202.08,65,68,1590536584,Aggressive Mode,A-Mode,https://steamusercontent-a.akamaihd.net/ugc/793133917198591097/2372880E304EFDBEFE73D101E54C0A34D9AA8612/
7959677,1201.53,15,0,1593009943,Cow boys,Coy boys,
1333179,1200.19,325,252,1502155223,,,https://steamcdn-a.akamaihd.net/apps/dota2/images/team_logos/1333179.png
1773539,1198.98,25,9,1439867040,Battle Zone-,Bz,https://steamusercontent-a.akamaihd.net/ugc/528385406419881229/5C6A83090C1C1EFD3818475F1A834DB28D1669FD/
7732977,1197.96,145,104,1603602963,BOOM Esports,BOOM,https://steamusercontent-a.akamaihd.net/ugc/768365068750604173/EF3216F4B02A0DA2327AC3190A369349C7BF3A24/
6666989,1197.71,30,27,1557239913,Chaos Esports Club,CHAOS,https://steamusercontent-a.akamaihd.net/ugc/967615741400119713/CE2F84E2109A30E7726191C7A574756407478ECE/
1079149,1197.66,68,60,1397485929,SIGMA.int,SIGMA,https://steamusercontent-a.akamaihd.net/ugc/1047377791103893273/2F86EB8DE06754907CD316B5DD5D4BE9FC8B1F8A/
5994455,1196.94,27,10,1569164446,Team Orca,Orca,https://steamusercontent-a.akamaihd.net/ugc/947336408508413358/0FB718DDF99BC7ACA9704C76792C76A31FD5A1E8/
4593831,1194.7,21,12,1515615451,Planet Dog,,https://steamusercontent-a.akamaihd.net/ugc/836958712904758112/869204355A15C4FF851DE8FBB51CB5456F0FFA20/
1375614,1194.2,933,670,1589290053,Newbee,Newbee,https://steamcdn-a.akamaihd.net/apps/dota2/images/team_logos/1375614.png
1531850,1194.1,38,17,1401644024,North American Rejects,NAR,https://steamusercontent-a.akamaihd.net/ugc/598160756144927455/E850C4122F42BB762134853C301E4085A1580B19/
1059824,1193.07,39,46,1403194810,Dream time.,DT,
8083854,1192.55,36,14,1603535701,cuteanimegirls,cute,https://steamusercontent-a.akamaihd.net/ugc/1486703883910276246/1CFB9D3E73FEF9E4820E6B2B17735FFDA9E3D00C/
2640099,1192.2,57,51,1464749731,Shazam~,Shazam,https://steamusercontent-a.akamaihd.net/ugc/352770708586900243/F4F65117024751E46AA8696E8B41B5799F984EF7/
2626685,1192.0,397,396,1590137373,KEEN GAMING,KG,https://steamcdn-a.akamaihd.net/apps/dota2/images/team_logos/2626685.png
